frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,,,0,,0.35,0,0,1,1,0,0,99.3546,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
2,2,2,0,raw,,,0,,0.35,0,0,1,1,0,0,98.925,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,3,3,0,xy,0.425163,0.425163,0,0.425163,0.35,0,0,1,1,0,0,98.7672,1,1,1,1435.2404,716.7321,1435.2404,716.7321,30.0603,BOX:4:6:4:6,BOX:4:6:4:6,1,1,0.125,0
4,4,4,0,xy,0.395735,0.395735,0,0.395735,0.35,0,0,1,1,0,0,97.905,1,1,1,1434.5748,716.8175,1434.9251,716.7726,30.0738,BOX:4:6:4:6,BOX:4:6:4:6,1,1,0.125,0
5,5,5,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,97.64,0,1,1,,,1434.9236,716.7728,30.0738,BOX:4:6:4:6,BOX:4:6:4:6,1,1,0.125,0
6,6,6,0,xy,0.348368,0.348368,0,0.348368,0.35,0,0,1,1,0,0,97.4098,1,1,1,1458.1278,714.3911,1442.72,715.9726,25.0479,BOX:4:7:3:7,BOX:4:7:3:7,1,1,0.2162,0
7,7,7,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,96.6956,0,1,1,,,1442.8912,715.9551,25.0479,BOX:4:7:3:7,BOX:4:7:3:7,1,1,0.2162,0
8,8,8,0,xy,0.27283,0.27283,0,0.27283,0.35,0,0,1,1,0,0,96.1475,1,1,1,1428.4221,726.1963,1438.9656,718.8082,69.8581,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
9,9,9,0,xy,0.277616,0.277616,0,0.277616,0.35,0,0,1,1,0,0,95.8193,1,1,1,1428.4755,726.3035,1436.4843,720.6593,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
10,10,10,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,95.2294,0,1,1,,,1436.3586,720.8503,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
11,11,11,0,prediction_only,,,0,,0.35,0,2,1,1,0,0,94.8575,0,1,1,,,1436.2329,721.0413,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
12,12,12,0,prediction_only,,,0,,0.35,0,3,1,1,0,0,93.9786,0,1,1,,,1436.1073,721.2323,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
13,13,13,0,prediction_only,,,0,,0.35,0,4,1,1,0,0,93.8875,0,1,1,,,1435.9816,721.4233,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
14,14,14,0,prediction_only,,,0,,0.35,0,5,1,1,0,0,93.1952,0,1,1,,,1435.8559,721.6143,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
15,15,15,0,prediction_only,,,0,,0.35,0,6,1,1,0,0,92.4975,0,1,1,,,1435.7302,721.8052,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
16,16,16,0,prediction_only,,,0,,0.35,0,7,1,1,0,0,91.637,0,1,1,,,1435.6046,721.9962,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
17,17,17,0,prediction_only,,,0,,0.35,0,8,1,1,0,0,91.2344,0,1,1,,,1435.4789,722.1872,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
18,18,18,0,prediction_only,,,0,,0.35,0,9,1,1,0,0,91.046,0,1,1,,,1435.3532,722.3782,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
19,19,19,0,prediction_only,0.342576,0.342576,0,0.342576,0.35,0,10,1,1,0,0,90.6267,1,2,1,839.573,562.9255,839.573,562.9255,177.1614,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
