frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,xy,0.448601,0.448601,0,0.448601,0.35,0,0,1,1,0,0,99.1093,1,1,1,1036.002,431.2357,1036.002,431.2357,120.8917,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
2,3,2,0,xy,0.265965,0.265965,0,0.265965,0.35,0,0,1,1,0,0,98.327,1,1,1,1028.0676,431.9007,1032.2299,431.5518,128.4065,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
3,4,3,0,xy,0.268074,0.268074,0,0.268074,0.35,0,0,1,1,0,0,97.6023,1,1,1,1028.0176,431.8962,1030.7961,431.6691,128.2277,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
4,6,4,0,xy,0.305637,0.305637,0,0.305637,0.35,0,0,1,1,0,0,96.8675,1,1,1,1027.7904,422.7281,1029.9216,429.2685,112.9884,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
5,7,5,0,xy,0.592449,0.592449,0,0.592449,0.35,0,0,1,1,0,0,95.9413,1,1,1,1025.2192,409.1426,1028.6974,424.369,120.7002,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,9,6,0,xy,0.494482,0.494482,0,0.494482,0.35,0,0,1,1,0,0,95.5036,1,1,1,1019.6423,403.4275,1026.4876,419.2552,133.7231,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,10,7,0,xy,0.49509,0.49509,0,0.49509,0.35,0,0,1,1,0,0,94.5315,1,1,1,1019.5859,403.4177,1024.6386,415.0031,133.9491,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
8,12,8,0,xy,0.346446,0.346446,0,0.329186,0.35,0,0,1,1,0,0,93.5031,2,2,1,1011.8505,412.2052,1022.2868,408.5904,109.4984,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
9,13,9,0,prediction_only,0.739095,0.739095,0,0.739095,0.35,0,1,1,1,0,0,93.2555,2,3,1,1010.259,394.0628,1019.0344,403.8879,103.6865,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
10,15,10,0,prediction_only,0.697601,0.697601,0,0.697601,0.35,0,2,1,1,0,0,92.3823,2,4,1,1009.7776,388.6211,1016.1645,398.7738,97.2071,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
11,17,11,0,prediction_only,0.434263,0.434263,0,0.434263,0.35,0,3,1,1,0,0,91.5863,2,4,1,1001.7502,384.1431,1012.0235,393.5586,103.9523,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
12,18,12,0,prediction_only,0.628293,0.628293,0,0.628293,0.35,0,4,1,1,0,0,90.6755,2,4,1,999.3455,388.6889,1008.1295,388.2356,100.5388,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
13,20,13,0,prediction_only,0.647826,0.647826,0,0.647826,0.35,0,5,1,1,0,0,89.7793,3,5,1,997.886,379.8251,1002.1152,395.391,96.3394,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
14,21,14,0,prediction_only,0.440391,0.440391,0,0.440391,0.35,0,6,1,1,0,0,88.9925,2,5,1,991.2834,377.5286,998.685,389.6141,103.1353,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
15,23,15,0,prediction_only,0.53843,0.53843,0,0.381706,0.35,0,7,1,1,0,0,88.7288,3,6,1,984.9758,384.1821,994.9779,387.3675,95.7454,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
16,24,16,0,prediction_only,0.419173,0.419173,0,0.419173,0.35,0,8,1,1,0,0,87.8524,2,6,1,977.8459,385.9053,990.3838,385.9766,94.7908,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
17,26,17,0,prediction_only,0.7393,0.7393,0,0.7393,0.35,0,9,1,1,0,0,86.786,2,7,1,972.7199,380.263,985.4439,383.6474,85.8933,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
18,28,18,0,prediction_only,0.568423,0.568423,0,0.568423,0.35,0,10,1,1,0,0,86.2247,2,7,1,964.4931,367.3799,980.6025,367.1734,79.8373,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
