frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,,,0,,0.35,0,0,1,1,0,0,99.5011,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
2,2,2,0,raw,,,0,,0.35,0,0,1,1,0,0,99.0759,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,3,3,0,full,0.425163,0.425163,0,0.425163,0.35,0,0,1,1,0,0,98.333,1,1,1,1435.2404,716.7321,1435.2404,716.7321,97.119,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
4,4,4,0,full,0.395735,0.395735,0,0.395735,0.35,0,0,1,1,0,0,97.8082,1,1,1,1434.5748,716.8175,1434.9251,716.7726,97.4805,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
5,5,5,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,97.4518,0,1,1,,,1434.9236,716.7728,97.4795,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
6,6,6,0,full,0.348368,0.348368,0,0.348368,0.35,1,0,1,1,1,0,96.955,1,1,1,1458.1278,714.3911,1442.72,715.9726,97.2898,BOX:6:6:5:5,BOX:6:6:5:5,1,1,0.0,0
7,7,7,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,96.5503,0,1,1,,,1442.8912,715.9551,97.0002,BOX:6:6:5:5,BOX:6:6:5:5,1,1,0.0,0
8,8,8,0,full,0.27283,0.27283,0,0.27283,0.35,1,0,1,1,1,0,95.9664,1,1,1,1428.4221,726.1963,1438.9656,718.8082,96.5702,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
9,9,9,0,z_only,0.277616,0.277616,0,0.277616,0.35,2,0,1,1,1,1,95.7268,1,1,1,1428.4755,726.3035,1438.9664,718.91,96.1759,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
10,10,10,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,94.971,0,1,1,,,1438.9673,719.0118,95.6272,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
11,11,11,0,prediction_only,,,0,,0.35,0,2,1,1,0,0,94.7051,0,1,1,,,1438.9682,719.1136,95.1535,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
12,12,12,0,prediction_only,,,0,,0.35,0,3,1,1,0,0,94.125,0,1,1,,,1438.9691,719.2154,94.6282,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
13,13,13,0,prediction_only,,,0,,0.35,0,4,1,1,0,0,93.1603,0,1,1,,,1438.9699,719.3173,93.9412,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
14,14,14,0,prediction_only,,,0,,0.35,0,5,1,1,0,0,93.0931,0,1,1,,,1438.9708,719.4191,93.438,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
15,15,15,0,prediction_only,,,0,,0.35,0,6,1,1,0,0,92.8215,0,1,1,,,1438.9717,719.5209,93.001,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
16,16,16,0,prediction_only,,,0,,0.35,0,7,1,1,0,0,92.029,0,1,1,,,1438.9726,719.6227,92.4506,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
17,17,17,0,prediction_only,,,0,,0.35,0,8,1,1,0,0,91.5231,0,1,1,,,1438.9734,719.7245,91.9063,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
18,18,18,0,prediction_only,,,0,,0.35,0,9,1,1,0,0,91.2482,0,1,1,,,1438.9743,719.8263,91.4355,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
19,19,19,0,prediction_only,0.342576,0.342576,0,0.342576,0.35,1,10,1,1,1,0,90.4232,1,2,1,839.573,562.9255,839.573,562.9255,89.3068,BOX:3:3:4:4,BOX:3:3:4:4,1,1,1.0,1
