frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,full,0.448601,0.448601,0,0.448601,0.35,0,0,1,1,0,0,99.2366,1,1,1,1036.002,431.2357,1036.002,431.2357,98.0115,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
2,3,2,0,full,0.265965,0.265965,0,0.265965,0.35,1,0,1,1,1,0,98.6686,1,1,1,1028.0676,431.9007,1032.2299,431.5518,98.3674,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
3,4,3,0,z_only,0.268074,0.268074,0,0.268074,0.35,2,0,1,1,1,1,97.4894,1,1,1,1028.0176,431.8962,1032.1853,431.5556,97.9858,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
4,6,4,0,z_only,0.305637,0.305637,0,0.305637,0.35,3,0,1,1,1,1,97.2278,1,1,1,1027.7904,422.7281,1032.1407,431.5593,97.6135,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
5,7,5,0,full,0.592449,0.592449,0,0.592449,0.35,0,0,1,1,0,0,95.7736,1,1,1,1025.2192,409.1426,1029.4825,423.042,96.7094,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
6,9,6,0,full,0.494482,0.494482,0,0.494482,0.35,0,0,1,1,0,0,95.3281,1,1,1,1019.6423,403.4275,1026.3375,416.6964,95.9224,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
7,10,7,0,full,0.49509,0.49509,0,0.49509,0.35,0,0,1,1,0,0,94.3915,1,1,1,1019.5859,403.4177,1024.2271,412.4582,95.0316,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
8,12,8,0,full,0.346446,0.346446,0,0.329186,0.35,1,0,1,1,1,0,93.598,2,2,1,1011.8505,412.2052,1021.774,406.1485,94.1478,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
9,13,9,0,prediction_only,0.739095,0.739095,0,0.739095,0.35,0,1,1,1,0,0,93.1415,2,3,1,1010.259,394.0628,1018.5136,401.9997,93.4074,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
10,15,10,0,prediction_only,0.697601,0.697601,0,0.697601,0.35,0,2,1,1,0,0,92.2205,2,4,1,1009.7776,388.6211,1015.7578,397.444,92.5918,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
11,17,11,0,prediction_only,0.434263,0.434263,0,0.434263,0.35,0,3,1,1,0,0,91.3743,2,4,1,1001.7502,384.1431,1011.7396,392.752,91.7553,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
12,18,12,0,prediction_only,0.628293,0.628293,0,0.628293,0.35,0,4,1,1,0,0,90.4132,2,4,1,999.3455,388.6889,1007.98,387.8832,90.8672,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
13,20,13,0,prediction_only,0.647826,0.647826,0,0.647826,0.35,0,5,1,1,0,0,89.7591,3,5,1,997.886,379.8251,1002.1152,395.391,90.3931,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
14,21,14,0,prediction_only,0.440391,0.440391,0,0.440391,0.35,0,6,1,1,0,0,88.8361,2,5,1,991.2834,377.5286,998.685,389.6141,89.4905,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
15,23,15,0,prediction_only,0.53843,0.53843,0,0.381706,0.35,0,7,1,1,0,0,88.3949,3,6,1,984.9758,384.1821,994.9779,387.3675,88.7417,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
16,24,16,0,prediction_only,0.419173,0.419173,0,0.419173,0.35,0,8,1,1,0,0,87.7863,2,6,1,977.8459,385.9053,990.3838,385.9766,88.0335,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
17,26,17,0,prediction_only,0.7393,0.7393,0,0.7393,0.35,0,9,1,1,0,0,86.4663,2,7,1,972.7199,380.263,985.4439,383.6474,87.0914,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
18,28,18,0,prediction_only,0.568423,0.568423,0,0.568423,0.35,0,10,1,1,0,0,85.6789,2,7,1,964.4931,367.3799,980.7906,368.2846,86.0103,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
19,29,19,0,prediction_only,0.641813,0.641813,0,0.641813,0.35,0,11,1,1,0,0,85.1424,3,7,1,957.602,365.1898,973.5942,365.2851,85.2374,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
20,31,20,0,prediction_only,0.659639,0.659639,0,0.659639,0.35,0,12,1,1,0,0,84.4896,3,7,1,957.3337,365.1157,967.7278,362.8614,84.4969,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
21,32,21,0,prediction_only,0.716044,0.716044,0,0.716044,0.35,0,13,1,1,0,0,84.0123,1,7,1,944.9707,374.0698,964.2212,359.9259,83.8294,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
22,34,22,0,prediction_only,0.685132,0.685132,0,0.685132,0.35,0,14,1,1,0,0,83.0907,1,7,1,942.7174,372.9985,960.7145,356.9904,83.0945,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
23,35,23,0,prediction_only,0.783396,0.783396,0,0.783396,0.35,0,15,1,1,0,0,82.3185,2,7,1,932.192,371.5061,947.0121,373.8962,82.4762,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
24,37,24,0,prediction_only,0.793228,0.793228,0,0.793228,0.35,0,16,1,1,0,0,81.5057,1,7,1,922.1296,369.8402,938.9246,371.8177,81.7009,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
25,38,25,0,prediction_only,0.512229,0.512229,0,0.304573,0.35,0,17,1,1,0,0,80.7931,2,8,1,947.8405,350.6359,947.8405,350.6359,79.7957,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
26,40,26,0,prediction_only,0.740232,0.740232,0,0.740232,0.35,0,18,1,1,0,0,79.8728,1,8,1,902.155,369.8689,921.2947,369.2579,80.1329,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
27,42,27,0,prediction_only,0.688346,0.688346,0,0.688346,0.35,0,19,1,1,0,0,78.8736,2,8,1,888.2893,367.0789,911.1937,367.567,79.2675,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
28,43,28,0,prediction_only,0.644176,0.644176,0,0.644176,0.35,0,20,1,1,0,0,78.4631,2,8,1,877.1061,384.6118,900.7279,369.2383,78.523,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
29,45,29,0,prediction_only,0.660394,0.660394,0,0.660394,0.35,0,21,1,1,0,0,77.9137,2,7,1,877.2808,385.082,891.9105,370.8105,77.8313,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
30,46,30,0,prediction_only,0.712235,0.712235,0,0.712235,0.35,0,22,1,1,0,0,76.9167,3,7,1,853.8887,366.1942,880.5947,369.0896,77.0577,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
31,48,31,0,prediction_only,0.664559,0.664559,0,0.664559,0.35,0,23,1,1,0,0,75.8932,3,7,1,835.5732,366.6513,868.0061,367.7022,76.2152,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
32,49,32,0,prediction_only,0.655378,0.655378,0,0.439502,0.35,0,24,1,1,0,0,75.3409,3,7,1,838.5219,341.3578,857.2308,366.4552,75.4461,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
33,51,33,0,prediction_only,0.725681,0.725681,0,0.615741,0.35,0,25,1,1,0,0,74.2199,5,8,1,811.4066,388.1315,844.3093,368.7276,74.5827,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
34,52,34,0,prediction_only,0.735314,0.735314,0,0.680557,0.35,0,26,1,1,0,0,73.3993,4,8,1,826.554,337.6302,830.6478,367.4671,73.7264,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
35,54,35,0,prediction_only,0.714992,0.714992,0,0.541652,0.35,0,27,1,1,0,0,72.7362,4,7,1,769.5846,329.8975,814.7774,369.8144,72.9169,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
36,56,36,0,prediction_only,0.730887,0.730887,0,0.730887,0.35,0,28,1,1,0,0,71.9149,4,7,1,743.678,331.5779,823.3276,333.7849,72.0661,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
37,57,37,0,prediction_only,0.738528,0.738528,0,0.700106,0.35,0,29,1,1,0,0,71.3826,4,6,1,726.5097,376.6454,777.614,372.9854,71.3587,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
38,59,38,0,prediction_only,0.713634,0.713634,0,0.713634,0.35,0,30,1,1,0,0,70.6226,4,6,1,681.2346,401.7698,756.7297,376.3268,70.6111,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
39,60,39,0,prediction_only,0.732909,0.732909,0,0.715899,0.35,0,31,1,1,0,0,69.8314,3,6,1,694.5182,324.2661,738.7451,379.5891,69.8525,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
40,62,40,0,prediction_only,0.669218,0.669218,0,0.612789,0.35,0,32,1,1,0,0,69.2132,3,5,1,657.1319,367.0662,719.424,377.8058,69.1295,BOX:2:2:2:2,BOX:2:2:2:2,1,1,1.0,1
41,63,41,0,prediction_only,0.689881,0.689881,0,0.689881,0.35,0,33,1,1,0,0,68.0231,5,6,1,673.1858,307.0162,693.8044,382.1746,68.2883,BOX:2:2:2:2,BOX:2:2:2:2,1,1,1.0,1
42,65,42,0,prediction_only,0.664872,0.664872,0,0.473382,0.35,0,34,1,1,0,0,67.1905,5,7,1,582.6729,316.481,666.6186,386.3402,67.4466,BOX:2:2:2:2,BOX:2:2:2:2,1,1,1.0,1
43,67,43,0,prediction_only,0.741589,0.741589,0,0.250312,0.35,0,35,1,1,0,0,66.7463,3,7,1,566.7627,447.0297,644.096,393.7026,66.7031,BOX:2:2:2:2,BOX:2:2:2:2,1,1,1.0,1
44,68,44,0,prediction_only,0.677508,0.677508,0,0.658368,0.35,0,36,1,1,0,0,65.7757,2,7,1,964.8459,381.5973,631.6433,394.121,65.9026,BOX:2:2:2:2,BOX:2:2:2:2,1,1,0.0,0
45,70,45,0,prediction_only,0.673487,0.673487,0,0.252273,0.35,0,37,1,1,0,0,65.0718,3,8,1,210.2511,447.3691,210.2511,447.3691,64.2685,BOX:0:0:3:3,BOX:0:0:3:3,1,1,0.0,0
46,71,46,0,prediction_only,0.677303,0.677303,0,0.266547,0.35,0,38,1,1,0,0,64.5784,3,8,1,209.6873,446.9089,209.9831,447.1503,64.4363,BOX:0:0:3:3,BOX:0:0:3:3,1,1,0.0,0
