frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,,,0,,0.35,0,0,1,1,0,0,99.4556,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
2,2,2,0,raw,,,0,,0.35,0,0,1,1,0,0,98.7307,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,3,3,0,full,0.425163,0.425163,0,0.425163,0.35,0,0,1,1,0,0,98.4918,1,1,1,1435.2404,716.7321,1435.2404,716.7321,97.2758,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
4,4,4,0,full,0.395735,0.395735,0,0.395735,0.35,0,0,1,1,0,0,97.6959,1,1,1,1434.5748,716.8175,1434.9251,716.7726,97.4962,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
5,5,5,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,97.5408,0,1,1,,,1434.9236,716.7728,97.521,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
6,6,6,0,full,0.348368,0.348368,0,0.348368,0.35,0,0,1,1,0,0,96.785,1,1,1,1458.1278,714.3911,1442.72,715.9726,97.2488,BOX:6:6:5:5,BOX:6:6:5:5,1,1,0.0,0
7,7,7,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,96.5017,0,1,1,,,1442.8912,715.9551,96.9464,BOX:6:6:5:5,BOX:6:6:5:5,1,1,0.0,0
8,8,8,0,full,0.27283,0.27283,0,0.27283,0.35,0,0,1,1,0,0,95.9589,1,1,1,1428.4221,726.1963,1438.9656,718.8082,96.5243,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
9,9,9,0,full,0.277616,0.277616,0,0.277616,0.35,0,0,1,1,0,0,95.5434,1,1,1,1428.4755,726.3035,1436.4843,720.6593,96.0714,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
10,10,10,0,prediction_only,,,0,,0.35,0,1,1,1,0,0,95.1596,0,1,1,,,1436.3586,720.8503,95.6182,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
11,11,11,0,prediction_only,,,0,,0.35,0,2,1,1,0,0,94.7271,0,1,1,,,1436.2329,721.0413,95.1541,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
12,12,12,0,prediction_only,,,0,,0.35,0,3,1,1,0,0,94.1935,0,1,1,,,1436.1073,721.2323,94.652,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
13,13,13,0,prediction_only,,,0,,0.35,0,4,1,1,0,0,93.5145,0,1,1,,,1435.9816,721.4233,94.0778,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
14,14,14,0,prediction_only,,,0,,0.35,0,5,1,1,0,0,92.8968,0,1,1,,,1435.8559,721.6143,93.4759,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
15,15,15,0,prediction_only,,,0,,0.35,0,6,1,1,0,0,92.0688,0,1,1,,,1435.7302,721.8052,92.7899,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
16,16,16,0,prediction_only,,,0,,0.35,0,7,1,1,0,0,91.9901,0,1,1,,,1435.6046,721.9962,92.2782,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
17,17,17,0,prediction_only,,,0,,0.35,0,8,1,1,0,0,91.6027,0,1,1,,,1435.4789,722.1872,91.799,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
18,18,18,0,prediction_only,,,0,,0.35,0,9,1,1,0,0,91.2104,0,1,1,,,1435.3532,722.3782,91.3423,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
19,19,19,0,prediction_only,0.342576,0.342576,0,0.342576,0.35,0,10,1,1,0,0,90.3145,1,2,1,839.573,562.9255,839.573,562.9255,89.1995,BOX:3:3:4:4,BOX:3:3:4:4,1,1,1.0,1
20,20,20,0,prediction_only,0.391041,0.391041,0,0.391041,0.35,0,11,1,1,0,0,90.0639,1,2,1,839.6472,562.8925,839.6081,562.9098,89.6529,BOX:3:3:4:4,BOX:3:3:4:4,1,1,1.0,1
