experiment_name,scenario_name,num_runs,gssr_percent_mean,gssr_percent_std,missed_glare_rate_percent_mean,missed_glare_rate_percent_std,false_darkening_rate_percent_mean,false_darkening_rate_percent_std,rmse_xy_px_mean,rmse_xy_px_std,jitter_reduction_percent_mean,jitter_reduction_percent_std,avg_total_latency_ms_mean,avg_total_latency_ms_std,occlusion_gssr_percent_mean,occlusion_gssr_percent_std,occlusion_missed_glare_rate_percent_mean,occlusion_missed_glare_rate_percent_std,occlusion_false_darkening_rate_percent_mean,occlusion_false_darkening_rate_percent_std,occlusion_rmse_xy_px_mean,occlusion_rmse_xy_px_std
a1_primary_only,fogging_1,5,9.3023,0.0,80.9302,0.0,0.0,0.0,35.4829,0.0,0.0,0.0,665.3517,177.3236,0.0,0.0,84.2105,0.0,0.0,0.0,3.5103,0.0
a1_primary_only,night_1,5,73.6842,0.0,3.9474,0.0,9.2105,0.0,118.72,0.0,0.0,0.0,672.6168,223.1766,,,,,,,,
a1_primary_only,norm_1,5,91.1765,0.0,0.0,0.0,6.8627,0.0,112.0258,0.0,0.0,0.0,653.2261,195.0597,,,,,,,,
a1_primary_only,rain_1,5,8.6758,0.0,63.0137,0.0,21.4612,0.0,371.0008,0.0,0.0,0.0,657.9002,227.2386,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
a1_primary_only,thunder_1,5,34.728,0.0,7.113,0.0,0.4184,0.0,80.3785,0.0,0.0,0.0,638.818,169.006,0.0,0.0,77.7778,0.0,0.0,0.0,117.0733,0.0
a2_secondary_only,fogging_1,5,23.2558,0.0,67.907,0.0,8.8372,0.0,220.8244,0.0,0.0,0.0,632.4518,182.3231,45.614,0.0,49.1228,0.0,5.2632,0.0,116.1114,0.0
a2_secondary_only,night_1,5,60.5263,0.0,13.1579,0.0,14.4737,0.0,156.0631,0.0,0.0,0.0,681.8705,250.5034,,,,,,,,
a2_secondary_only,norm_1,5,41.1765,0.0,12.2549,0.0,23.0392,0.0,165.6211,0.0,0.0,0.0,622.3161,196.4364,,,,,,,,
a2_secondary_only,rain_1,5,46.1187,0.0,42.9224,0.0,10.9589,0.0,216.0473,0.0,0.0,0.0,619.9059,165.5681,22.2222,0.0,77.7778,0.0,0.0,0.0,25.7165,0.0
a2_secondary_only,thunder_1,5,24.2678,0.0,38.4937,0.0,0.4184,0.0,162.2367,0.0,0.0,0.0,619.801,157.2175,0.0,0.0,44.4444,0.0,0.0,0.0,52.7558,0.0
a3_ensemble_nms,fogging_1,5,31.6279,0.0,51.1628,0.0,7.4419,0.0,159.548,0.0,0.0,0.0,679.584,233.8079,45.614,0.0,33.3333,0.0,5.2632,0.0,101.448,0.0
a3_ensemble_nms,night_1,5,75.0,0.0,3.9474,0.0,7.8947,0.0,98.94,0.0,0.0,0.0,619.9568,164.4398,,,,,,,,
a3_ensemble_nms,norm_1,5,94.1176,0.0,0.0,0.0,4.902,0.0,36.9105,0.0,0.0,0.0,645.848,163.5477,,,,,,,,
a3_ensemble_nms,rain_1,5,46.1187,0.0,40.1826,0.0,12.7854,0.0,238.4686,0.0,0.0,0.0,614.3408,133.0955,22.2222,0.0,77.7778,0.0,0.0,0.0,25.7165,0.0
a3_ensemble_nms,thunder_1,5,33.8912,0.0,4.6025,0.0,0.4184,0.0,78.7433,0.0,0.0,0.0,668.9046,243.0859,0.0,0.0,44.4444,0.0,0.0,0.0,52.7558,0.0
a4_ensemble_weighted,fogging_1,5,31.6279,0.0,51.1628,0.0,7.4419,0.0,159.5043,0.0,0.0,0.0,651.2147,233.3188,45.614,0.0,33.3333,0.0,5.2632,0.0,101.448,0.0
a4_ensemble_weighted,night_1,5,75.0,0.0,3.9474,0.0,7.8947,0.0,98.5069,0.0,0.0,0.0,678.7192,245.5704,,,,,,,,
a4_ensemble_weighted,norm_1,5,94.1176,0.0,0.0,0.0,4.902,0.0,36.7653,0.0,0.0,0.0,681.1472,218.7021,,,,,,,,
a4_ensemble_weighted,rain_1,5,46.1187,0.0,40.1826,0.0,12.7854,0.0,238.1313,0.0,0.0,0.0,683.2818,211.2508,22.2222,0.0,77.7778,0.0,0.0,0.0,25.7165,0.0
a4_ensemble_weighted,thunder_1,5,34.728,0.0,4.6025,0.0,0.4184,0.0,78.6716,0.0,0.0,0.0,669.9389,210.7551,0.0,0.0,44.4444,0.0,0.0,0.0,52.7558,0.0
