experiment_name,scenario_name,num_runs,gssr_percent_mean,gssr_percent_std,missed_glare_rate_percent_mean,missed_glare_rate_percent_std,false_darkening_rate_percent_mean,false_darkening_rate_percent_std,rmse_xy_px_mean,rmse_xy_px_std,jitter_reduction_percent_mean,jitter_reduction_percent_std,avg_total_latency_ms_mean,avg_total_latency_ms_std,occlusion_gssr_percent_mean,occlusion_gssr_percent_std,occlusion_missed_glare_rate_percent_mean,occlusion_missed_glare_rate_percent_std,occlusion_false_darkening_rate_percent_mean,occlusion_false_darkening_rate_percent_std,occlusion_rmse_xy_px_mean,occlusion_rmse_xy_px_std
c1_no_hold_time,fogging_1,5,87.4419,0.0,2.7907,0.0,9.7674,0.0,136.9456,0.0,8.9888,0.0,340.8544,11.1663,98.2456,0.0,0.0,0.0,1.7544,0.0,48.1794,0.0
c1_no_hold_time,night_1,5,84.2105,0.0,0.0,0.0,15.7895,0.0,36.1279,0.0,3.0175,0.0,340.4315,30.7532,,,,,,,,
c1_no_hold_time,norm_1,5,95.5882,0.0,0.0,0.0,4.4118,0.0,16.4931,0.0,-3.442,0.0,346.863,20.633,,,,,,,,
c1_no_hold_time,rain_1,5,85.8447,0.0,3.1963,0.0,10.9589,0.0,81.1569,0.0,-9.7535,0.0,345.0357,24.0833,55.5556,0.0,0.0,0.0,44.4444,0.0,98.7464,0.0
c1_no_hold_time,thunder_1,5,99.1632,0.0,0.0,0.0,0.8368,0.0,11.7152,0.0,16.3571,0.0,356.4861,10.0026,77.7778,0.0,0.0,0.0,22.2222,0.0,5.1157,0.0
c2_hold_time_enabled,fogging_1,5,89.3023,0.0,0.9302,0.0,9.7674,0.0,136.9456,0.0,8.9888,0.0,341.0445,9.4937,98.2456,0.0,0.0,0.0,1.7544,0.0,48.1794,0.0
c2_hold_time_enabled,night_1,5,84.2105,0.0,0.0,0.0,15.7895,0.0,36.1279,0.0,3.0175,0.0,301.9274,58.1908,,,,,,,,
c2_hold_time_enabled,norm_1,5,95.5882,0.0,0.0,0.0,4.4118,0.0,16.4931,0.0,-3.442,0.0,286.173,49.25,,,,,,,,
c2_hold_time_enabled,rain_1,5,85.8447,0.0,0.9132,0.0,13.242,0.0,81.1569,0.0,-9.7535,0.0,301.0643,55.7961,55.5556,0.0,0.0,0.0,44.4444,0.0,98.7464,0.0
c2_hold_time_enabled,thunder_1,5,99.1632,0.0,0.0,0.0,0.8368,0.0,11.7152,0.0,16.3571,0.0,315.5296,32.9146,77.7778,0.0,0.0,0.0,22.2222,0.0,5.1157,0.0
c3_fixed_observation,fogging_1,5,89.3023,0.0,0.9302,0.0,9.7674,0.0,136.2706,0.0,8.0776,0.0,346.4776,5.9062,98.2456,0.0,0.0,0.0,1.7544,0.0,47.782,0.0
c3_fixed_observation,night_1,5,84.2105,0.0,0.0,0.0,15.7895,0.0,36.144,0.0,2.908,0.0,337.7735,37.4505,,,,,,,,
c3_fixed_observation,norm_1,5,95.5882,0.0,0.0,0.0,4.4118,0.0,16.4931,0.0,-3.442,0.0,351.9683,12.9034,,,,,,,,
c3_fixed_observation,rain_1,5,87.2146,0.0,0.9132,0.0,11.8721,0.0,80.1791,0.0,-10.4555,0.0,341.6441,19.3249,77.7778,0.0,0.0,0.0,22.2222,0.0,91.9036,0.0
c3_fixed_observation,thunder_1,5,99.1632,0.0,0.0,0.0,0.8368,0.0,11.7134,0.0,16.3348,0.0,347.7354,14.1643,77.7778,0.0,0.0,0.0,22.2222,0.0,5.0433,0.0
c4_adaptive_switching,fogging_1,5,89.3023,0.0,0.9302,0.0,9.7674,0.0,136.9456,0.0,8.9888,0.0,331.2652,27.3947,98.2456,0.0,0.0,0.0,1.7544,0.0,48.1794,0.0
c4_adaptive_switching,night_1,5,84.2105,0.0,0.0,0.0,15.7895,0.0,36.1279,0.0,3.0175,0.0,355.2251,8.2474,,,,,,,,
c4_adaptive_switching,norm_1,5,95.5882,0.0,0.0,0.0,4.4118,0.0,16.4931,0.0,-3.442,0.0,352.682,7.6151,,,,,,,,
c4_adaptive_switching,rain_1,5,85.8447,0.0,0.9132,0.0,13.242,0.0,81.1569,0.0,-9.7535,0.0,352.2885,8.9448,55.5556,0.0,0.0,0.0,44.4444,0.0,98.7464,0.0
c4_adaptive_switching,thunder_1,5,99.1632,0.0,0.0,0.0,0.8368,0.0,11.7152,0.0,16.3571,0.0,356.3093,11.4559,77.7778,0.0,0.0,0.0,22.2222,0.0,5.1157,0.0
